3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Bclasvirinae	Acadianvirus	Mycobacterium phage Acadian
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Pseudomonas phage PAK_P1
20	Viruses	dsDNA viruses, no RNA stage	Iridoviridae	Ranavirus	European catfish virus
1	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	L5virus	Mycobacterium phage RidgeCB
21	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Vibrio phage 11895-B1
5	Viruses	dsDNA viruses, no RNA stage	Poxviridae	Chordopoxvirinae	Suipoxvirus	Swinepox virus
26	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Synechococcus phage S-RIM8 A.HR1
20	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Enterobacteria phage phiP27
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Saal
11	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Vibrio phage pYD21-A
2	Viruses	dsDNA viruses, no RNA stage	unclassified dsDNA viruses	unclassified archaeal dsDNA viruses	Haloviruses	Halovirus HCTV-2
6	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Prochlorococcus phage MED4-184
31	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Synechococcus phage ACG-2014e
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Vibrio phage pYD38-B
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Lambdavirus	unclassified Lambda-like viruses	Enterobacterial phage mEp390
7	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Phietavirus	Staphylococcus phage 92
3	Viruses	dsDNA viruses, no RNA stage	Poxviridae	Chordopoxvirinae	Parapoxvirus	Bovine papular stomatitis virus
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage LittleCherry
11	Viruses	dsDNA viruses, no RNA stage	unclassified dsDNA phages	Oenococcus phage phiS11
6	Viruses	dsDNA viruses, no RNA stage	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Varicellovirus	Bovine alphaherpesvirus 1
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Idiomarinaceae phage Phi1M2-2
154	Viruses	dsDNA viruses, no RNA stage	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus 1
